name,speciality,degree,year_of_experience,location,city,dp_score,npv,consultation_fee,profile_url,google_map_link,scraped_at,source_file
Dr Preeti's Diabetes Care Clinic,Anesthesiologist,,2.0,"Dr Preeti's Diabetes Care Clinic, Jayanagar, Bangalore: Practo",Bangalore,,2.0,0.0,https://www.practo.com/Bangalore/clinic/dr-preeti-s-diabetes-care-clinic-jayanagar-9-block,"https://www.google.com/maps/dir//12.918186442602,77.596762525215",2025-08-18T00:49:51.487488,cleaned_doctors_full.csv
Dr. (Col.) O P Garg,Rheumatologist,MBBS,,Dwarka,Delhi,96.0,0.0,1500.0,https://www.practo.com/delhi/doctor/dr-onkar-prasad-garg-rheumatologist/recommended?practice_id=1207931&specialization=Rheumatologist&referrer=doctor_listing&page_uid=7f759020-7de4-496d-bf8e-0dfc17213ad5,,2025-08-17T01:10:22.927146,bangalore_enhanced.csv
Dr. (Lt Gen) CS Narayanan,Neurologist,MBBS,,Dwarka Sector 6,Delhi,88.0,0.0,1200.0,https://www.practo.com/delhi/doctor/dr-lt-gen-c-s-narayanan-neurologist/recommended?practice_id=1177288&specialization=Neurologist&referrer=doctor_listing&page_uid=dabe67c3-7e88-4aa0-b379-6ea3782be6da,,2025-08-17T00:05:34.650458,bangalore_enhanced.csv
Dr. (Lt. Col) Leena N Sreedhar,Gynecologist,MBBS,,Dwarka Sector 6,Delhi,85.0,0.0,1000.0,https://www.practo.com/delhi/doctor/dr-leena-sreedhar-gynecologist-obstetrician-1/recommended?practice_id=1177288&specialization=Gynecologist&referrer=doctor_listing&page_uid=8206d14c-2317-4355-9f09-becc31a5f90c,,2025-08-16T23:40:26.864081,bangalore_enhanced.csv
Dr. (Mrs.) Vishnu Vandana,"Gynecologist, Infertility Specialist",MBBS,,HSR Layout,Bangalore,95.0,0.0,600.0,https://www.practo.com/bangalore/doctor/-mrs-vishnu-vandana-gynecologist-obstetrician/recommended?practice_id=1322328&specialization=Gynecologist&referrer=doctor_listing&page_uid=68f115e0-7ade-471c-b699-89681300caeb,,2025-08-16T20:30:32.392606,bangalore_enhanced.csv
Dr. (Prof) Deepak Daryani,Dentist,MDS,,HSR Layout,Bangalore,99.0,0.0,500.0,https://www.practo.com/bangalore/doctor/dr-deepak-daryani-dentist/recommended?practice_id=707835&specialization=Dentist&referrer=doctor_listing&page_uid=a98712c3-6bef-4bc3-bb98-e9a1c023abd0,,2025-08-16T19:15:08.300473,bangalore_enhanced.csv
Dr. (Prof) Raju Vaishya,Orthopedist,MBBS,,Sukhdev Vihar,Delhi,87.0,0.0,1500.0,https://www.practo.com/delhi/doctor/dr-raju-vaishya-orthopedist-2/recommended?practice_id=730725&specialization=Orthopedist&referrer=doctor_listing&page_uid=4625028c-306e-4dae-b964-9a4431814d7b,,2025-08-17T00:43:29.642777,bangalore_enhanced.csv
Dr. (Prof.) Anil Arora,Orthopedist,MBBS,,Patparganj,Delhi,83.0,0.0,1800.0,https://www.practo.com/delhi/doctor/dr-prof-anil-arora-orthopedist/recommended?practice_id=723180&specialization=Orthopedist&referrer=doctor_listing&page_uid=922230db-2a2d-449a-afcb-0662d2537c5a,,2025-08-17T00:28:03.282436,bangalore_enhanced.csv
Dr. (Prof.) Man Mohan Mehndiratta,Neurologist,MBBS,,Pusa Road,Delhi,,,2500.0,https://www.practo.com/delhi/doctor/dr-professor-man-mohan-mehndiratta-neurologist/recommended?practice_id=680128&specialization=Neurologist&referrer=doctor_listing&page_uid=b2a6e445-ceec-42aa-90f6-69f4199854d4,,2025-08-17T00:02:55.160115,bangalore_enhanced.csv
Dr. A Aruna Prasad,Dermatologist,MBBS,,Yeshwanthpur,Bangalore,90.0,0.0,950.0,https://www.practo.com/bangalore/doctor/dr-a-aruna-prasad-dermatologist-dermatologist/recommended?practice_id=1131812&specialization=Dermatologist&referrer=doctor_listing&page_uid=fa7c5974-1090-43e1-a770-31d9aa3f58b8,,2025-08-16T19:44:00.023244,bangalore_enhanced.csv
